Route;Vehicle;Activity;Job;Arrive_Load;Leave_Load;Wait_Time;Arrive_Time;Leave_Time;Distance;Costs
#1;2;start;0;102;102;0;0;0;0.0;0
#1;2;service;6;102;90;0;51.88;51.88;51.88;51.88
#1;2;service;23;90;82;0;78.29;78.29;78.29;78.29
#1;2;service;3;82;76;0;85.36;85.36;85.36;85.36
#1;2;service;2;76;55;0;88.52;88.52;88.52;88.52
#1;2;service;7;55;39;0;136.6;136.6;136.6;136.6
#1;2;service;16;39;21;0;149.25;149.25;149.25;149.25
#1;2;service;12;21;0;0;159.3;159.3;159.3;159.3
#1;2;finish;0;0;0;0;188.15;188.15;188.15;188.15
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#2;0;start;0;71;71;0;0;0;0.0;0
#2;0;service;20;71;63;0;36.24;36.24;36.24;36.24
#2;0;service;5;63;56;0;57.61;57.61;57.61;57.61
#2;0;service;25;56;32;0;79.15;79.15;79.15;79.15
#2;0;service;10;32;24;0;95.31;95.31;95.31;95.31
#2;0;service;15;24;2;0;112.43;112.43;112.43;112.43
#2;0;service;29;2;0;0;132.07;132.07;132.07;132.07
#2;0;finish;0;0;0;0;194.36;194.36;194.36;194.36
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#3;1;start;0;99;99;0;0;0;0.0;0
#3;1;service;1;99;80;0;34.93;34.93;34.93;34.93
#3;1;service;21;80;68;0;65.0;65.0;65.0;65.0
#3;1;service;31;68;59;0;74.0;74.0;74.0;74.0
#3;1;service;19;59;35;0;79.38;79.38;79.38;79.38
#3;1;service;17;35;16;0;81.62;81.62;81.62;81.62
#3;1;service;13;16;0;0;105.66;105.66;105.66;105.66
#3;1;finish;0;0;0;0;156.7;156.7;156.7;156.7
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#4;0;start;0;75;75;0;0;0;0.0;0
#4;0;service;22;75;71;0;84.17;84.17;84.17;84.17
#4;0;service;9;71;55;0;88.42;88.42;88.42;88.42
#4;0;service;18;55;54;0;106.8;106.8;106.8;106.8
#4;0;service;8;54;48;0;116.23;116.23;116.23;116.23
#4;0;service;11;48;34;0;132.88;132.88;132.88;132.88
#4;0;service;4;34;15;0;141.42;141.42;141.42;141.42
#4;0;service;28;15;0;0;154.23;154.23;154.23;154.23
#4;0;finish;0;0;0;0;239.09;239.09;239.09;239.09
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#5;1;start;0;63;63;0;0;0;0.0;0
#5;1;service;27;63;43;0;25.96;25.96;25.96;25.96
#5;1;service;24;43;19;0;34.02;34.02;34.02;34.02
#5;1;service;14;19;16;0;37.02;37.02;37.02;37.02
#5;1;service;26;16;14;0;56.44;56.44;56.44;56.44
#5;1;service;30;14;0;0;63.51;63.51;63.51;63.51
#5;1;finish;0;0;0;0;79.79;79.79;79.79;79.79
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
MAX TIME;;;;;;;;239.09;;
TOTAL;;;;;;;;;858.09;858.09
