Route;Vehicle;Activity;Job;Arrive_Load;Leave_Load;Wait_Time;Arrive_Time;Leave_Time;Distance;Costs
#1;2;start;0;221;221;0;0;0;0.0;0
#1;2;service;46;221;216;0;2.24;2.24;2.24;2.24
#1;2;service;11;216;197;0;12.43;12.43;12.43;12.43
#1;2;service;50;197;187;0;26.99;26.99;26.99;26.99
#1;2;service;2;187;157;0;40.89;40.89;40.89;40.89
#1;2;service;32;157;145;0;52.29;52.29;52.29;52.29
#1;2;service;6;145;130;0;69.32;69.32;69.32;69.32
#1;2;service;23;130;114;0;80.5;80.5;80.5;80.5
#1;2;service;7;114;95;0;86.58;86.58;86.58;86.58
#1;2;service;43;95;84;0;98.62;98.62;98.62;98.62
#1;2;service;24;84;74;0;110.99;110.99;110.99;110.99
#1;2;service;14;74;53;0;121.76;121.76;121.76;121.76
#1;2;service;25;53;25;0;128.17;128.17;128.17;128.17
#1;2;service;47;25;0;0;147.14;147.14;147.14;147.14
#1;2;finish;0;0;0;0;156.57;156.57;156.57;156.57
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#2;2;start;0;208;208;0;0;0;0.0;0
#2;2;service;49;208;190;0;21.63;21.63;21.63;21.63
#2;2;service;9;190;179;0;28.04;28.04;28.04;28.04
#2;2;service;34;179;153;0;37.04;37.04;37.04;37.04
#2;2;service;30;153;134;0;43.74;43.74;43.74;43.74
#2;2;service;10;134;129;0;52.96;52.96;52.96;52.96
#2;2;service;39;129;115;0;62.96;62.96;62.96;62.96
#2;2;service;33;115;92;0;76.89;76.89;76.89;76.89
#2;2;service;45;92;82;0;83.89;83.89;83.89;83.89
#2;2;service;15;82;72;0;90.6;90.6;90.6;90.6
#2;2;service;44;72;56;0;96.68;96.68;96.68;96.68
#2;2;service;42;56;43;0;106.98;106.98;106.98;106.98
#2;2;service;19;43;34;0;115.52;115.52;115.52;115.52
#2;2;service;40;34;27;0;126.15;126.15;126.15;126.15
#2;2;service;41;27;0;0;138.24;138.24;138.24;138.24
#2;2;finish;0;0;0;0;168.72;168.72;168.72;168.72
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#3;1;start;0;198;198;0;0;0;0.0;0
#3;1;service;12;198;169;0;8.06;8.06;8.06;8.06
#3;1;service;37;169;160;0;18.11;18.11;18.11;18.11
#3;1;service;16;160;145;0;45.7;45.7;45.7;45.7
#3;1;service;21;145;137;0;55.75;55.75;55.75;55.75
#3;1;service;29;137;131;0;62.96;62.96;62.96;62.96
#3;1;service;20;131;103;0;73.01;73.01;73.01;73.01
#3;1;service;3;103;87;0;80.82;80.82;80.82;80.82
#3;1;service;28;87;73;0;90.31;90.31;90.31;90.31
#3;1;service;31;73;62;0;96.63;96.63;96.63;96.63
#3;1;service;26;62;55;0;106.68;106.68;106.68;106.68
#3;1;service;8;55;32;0;113.89;113.89;113.89;113.89
#3;1;service;48;32;15;0;123.11;123.11;123.11;123.11
#3;1;service;27;15;0;0;131.71;131.71;131.71;131.71
#3;1;finish;0;0;0;0;139.71;139.71;139.71;139.71
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#4;0;start;0;150;150;0;0;0;0.0;0
#4;0;service;18;150;109;0;14.76;14.76;14.76;14.76
#4;0;service;13;109;86;0;29.19;29.19;29.19;29.19
#4;0;service;4;86;77;0;44.22;44.22;44.22;44.22
#4;0;service;17;77;74;0;51.84;51.84;51.84;51.84
#4;0;service;5;74;53;0;66.6;66.6;66.6;66.6
#4;0;service;38;53;38;0;73.67;73.67;73.67;73.67
#4;0;service;35;38;21;0;106.43;106.43;106.43;106.43
#4;0;service;36;21;15;0;112.51;112.51;112.51;112.51
#4;0;service;22;15;7;0;136.7;136.7;136.7;136.7
#4;0;service;1;7;0;0;143.77;143.77;143.77;143.77
#4;0;finish;0;0;0;0;157.66;157.66;157.66;157.66
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
MAX TIME;;;;;;;;168.72;;
TOTAL;;;;;;;;;622.66;622.66
