Route;Vehicle;Activity;Job;Arrive_Load;Leave_Load;Wait_Time;Arrive_Time;Leave_Time;Distance;Costs
#1;1;start;0;30;30;0;0;0;0.0;0
#1;1;service;1;30;11;0;13.0;13.0;13.0;13.0
#1;1;service;15;11;0;0;30.12;30.12;30.12;30.12
#1;1;finish;0;0;0;0;59.95;59.95;59.95;59.95
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#2;0;start;0;30;30;0;0;0;0.0;0
#2;0;service;4;30;7;0;22.02;22.02;22.02;22.02
#2;0;service;11;7;0;0;29.23;29.23;29.23;29.23
#2;0;finish;0;0;0;0;57.39;57.39;57.39;57.39
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#3;0;start;0;30;30;0;0;0;0.0;0
#3;0;service;12;30;16;0;29.97;29.97;29.97;29.97
#3;0;service;3;16;0;0;39.45;39.45;39.45;39.45
#3;0;finish;0;0;0;0;72.01;72.01;72.01;72.01
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#4;0;start;0;30;30;0;0;0;0.0;0
#4;0;service;2;30;0;0;21.02;21.02;21.02;21.02
#4;0;finish;0;0;0;0;42.05;42.05;42.05;42.05
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#5;1;start;0;31;31;0;0;0;0.0;0
#5;1;service;6;31;0;0;12.04;12.04;12.04;12.04
#5;1;finish;0;0;0;0;24.08;24.08;24.08;24.08
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#6;1;start;0;36;36;0;0;0;0.0;0
#6;1;service;8;36;8;0;32.45;32.45;32.45;32.45
#6;1;service;10;8;0;0;47.48;47.48;47.48;47.48
#6;1;finish;0;0;0;0;68.29;68.29;68.29;68.29
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#7;1;start;0;29;29;0;0;0;0.0;0
#7;1;service;7;29;14;0;22.02;22.02;22.02;22.02
#7;1;service;9;14;6;0;32.07;32.07;32.07;32.07
#7;1;service;13;6;0;0;39.28;39.28;39.28;39.28
#7;1;finish;0;0;0;0;68.4;68.4;68.4;68.4
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
#8;0;start;0;30;30;0;0;0;0.0;0
#8;0;service;5;30;19;0;23.09;23.09;23.09;23.09
#8;0;service;14;19;0;0;31.57;31.57;31.57;31.57
#8;0;finish;0;0;0;0;62.44;62.44;62.44;62.44
-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-;-//-
MAX TIME;;;;;;;;72.01;;
TOTAL;;;;;;;;;454.62;454.62
